,PPV,TPR,F1,INF
7N1P_5,,,,
7N1P_Dt,0.952,1.0,0.976,0.976
7N2C_5,,,,
7N2C_Dt,0.286,0.333,0.308,0.309
7N2U_5,,,,
7N2U_Dt,0.286,0.333,0.308,0.309
7N2U_Pt,,,,
7N2V_5,,,,
7N2V_Dt,0.286,0.333,0.308,0.309
7N2V_Pt,,,,
7N30_5,,,,
7N30_Dt,0.286,0.333,0.308,0.309
7N31_5,,,,
7N31_Dt,0.952,1.0,0.976,0.976
7N31_Pt,,,,
7NBU_b,,,,
7NBU_V,,,,
7NFX_1,,,,
7NFX_7,,,,
7NHK_B,,,,
7NHL_B,,,,
7NHM_B,,,,
7NHN_B,,,,
7NRC_LB,,,,
7NRC_Sm,,,,
7NRC_Sn,,,,
7NRD_LB,,,,
7NRD_Sm,,,,
7NRD_Sn,,,,
7NSO_8,0.44,0.423,0.431,0.431
7NSO_B,,,,
7NSP_8,0.423,0.423,0.423,0.423
7NSP_B,,,,
7NSP_v,,,,
7NSQ_8,0.423,0.423,0.423,0.423
7NSQ_B,,,,
7NSQ_v,,,,
7NWG_33,,,,
7NWG_71,,,,
7NWG_q3,,,,
7NWH_7,,,,
7NWI_2,,,,
7NWI_7,,,,
7NWT_3,,,,
7NWW_3,,,,
7NWW_z,0.64,0.667,0.653,0.653
7O19_B8,,,,
7O19_BB,,,,
7O1A_B8,,,,
7O1A_BB,,,,
7O1C_B8,,,,
7O1C_BB,,,,
7O5B_Y,,,,
7O7Y_B7,,,,
7O7Z_AH,,,,
7O7Z_B7,,,,
7O80_AT,0.565,0.684,0.619,0.622
7O80_B7,,,,
7O81_AJ,0.476,0.588,0.526,0.529
7O81_AT,,,,
7O81_B7,,,,
7OBQ_1,0.86,0.902,0.881,0.881
7OBR_1,,,,
7OBR_7,,,,
7OH3_3,,,,
7OHQ_3,,,,
7OIF_3,,,,
7OIF_z,0.667,0.696,0.681,0.681
7OIG_3,,,,
7OIG_z,0.6,0.625,0.612,0.612
7OII_3,,,,
7OII_z,,,,
7OIZ_b,,,,
7OJ0_b,,,,
7OLC_3,,,,
7OLD_3,,,,
7OLD_5,,,,
7OPE_2,,,,
7OPE_B,,,,
7OSA_AB,,,,
7OSA_PSIT,,,,
7OSM_AB,,,,
7OSM_ASIT,0.923,0.857,0.889,0.889
7OSM_PSIT,,,,
7OT5_3,,,,
7OT5_z,,,,
7P3K_b,,,,
7P3K_V,,,,
7P48_5,,,,
7P48_B,,,,
7P7Q_B,,,,
7P7R_B,,,,
7P7S_B,,,,
7P7T_B,,,,
7P7T_C,,,,
7P7U_B,,,,
7PJS_B,,,,
7PJT_B,,,,
7PJT_v,,,,
7PJT_w,0.952,1.0,0.976,0.976
7PJU_B,,,,
7PJU_v,,,,
7PJU_w,0.952,1.0,0.976,0.976
7PJV_B,,,,
7PJV_v,,,,
7PJV_w,0.952,1.0,0.976,0.976
7PJW_B,,,,
7PJW_v,,,,
7PJW_w,0.952,1.0,0.976,0.976
7PJX_B,,,,
7PJX_v,,,,
