,PPV,TPR,F1,INF
7M4X_v,,,,
7M4Y_B,,,,
7M4Y_v,,,,
7M4Z_B,,,,
7MD7_1B,,,,
7MD7_2B,,,,
7MDZ_2,0.947,0.72,0.818,0.826
7MDZ_7,,,,
7MQA_L0,0.0,0.0,0.0,0.0
7MQA_L2,,,,
7MSC_B,,,,
7MSH_B,,,,
7MSM_B,,,,
7MSZ_B,,,,
7MT2_B,,,,
7MT3_B,,,,
7MT7_B,,,,
7MT7_x,,,,
7N1P_5,,,,
7N1P_Pt,,,,
7N2C_5,,,,
7N2C_Pt,,,,
7N2U_5,,,,
7N2V_5,,,,
7N30_5,,,,
7N30_Pt,,,,
7N31_5,,,,
7NBU_b,,,,
7NBU_V,,,,
7NFX_1,,,,
7NFX_7,,,,
7NHK_B,,,,
7NHK_D,,,,
7NHL_B,,,,
7NHL_D,,,,
7NHM_B,,,,
7NHM_D,,,,
7NHN_B,,,,
7NHN_D,,,,
7NQH_BB,,,,
7NQL_BB,,,,
7NRC_LB,,,,
7NRC_Sm,,,,
7NRD_LB,,,,
7NRD_Sm,,,,
7NSH_BB,,,,
7NSI_BB,,,,
7NSJ_BB,,,,
7NSO_8,0.895,0.63,0.739,0.751
7NSO_B,,,,
7NSP_8,0.76,0.731,0.745,0.745
7NSP_B,,,,
7NSP_v,,,,
7NSQ_8,0.81,0.63,0.708,0.714
7NSQ_B,,,,
7NSQ_v,,,,
7NWG_71,,,,
7NWH_7,,,,
7NWI_2,,,,
7NWI_7,,,,
7NWT_3,,,,
7NWT_5,,,,
7NWW_3,,,,
7NWW_z,0.727,0.696,0.711,0.711
7O19_B8,,,,
7O19_BB,,,,
7O1A_B8,,,,
7O1A_BB,,,,
7O1C_B8,,,,
7O1C_BB,,,,
7O5B_U,,,,
7O7Y_AT,0.333,0.368,0.35,0.35
7O7Y_B7,,,,
7O7Z_AH,,,,
7O7Z_AT,0.333,0.368,0.35,0.35
7O7Z_B7,,,,
7O80_B7,,,,
7O81_AJ,0.629,1.0,0.772,0.793
7O81_B7,,,,
7OBQ_1,0.143,0.229,0.176,0.181
7OBR_1,,,,
7OBR_7,,,,
7OF1_3,0.625,0.417,0.5,0.51
7OH3_3,,,,
7OHQ_3,,,,
7OHT_3,,,,
7OI8_z,,,,
7OIA_z,,,,
7OID_z,,,,
7OIF_3,,,,
7OIF_z,0.762,0.696,0.727,0.728
7OIG_3,,,,
7OIG_z,0.773,0.739,0.756,0.756
7OII_3,,,,
7OII_z,,,,
7OIZ_b,,,,
7OIZ_V,,,,
7OJ0_b,,,,
7OJ0_V,,,,
7OKX_P,0.0,0.0,0.0,0.0
7OKY_P,0.0,0.0,0.0,0.0
7OL0_P,0.0,0.0,0.0,0.0
7OLC_3,,,,
7OLD_3,,,,
7OLD_5,,,,
7ONB_H,0.6,0.75,0.667,0.671
7ONU_T,,,,
7OPE_2,,,,
7OPE_B,,,,
7OSA_AB,,,,
7OSM_AB,,,,
7OT5_3,,,,
7OT5_z,,,,
7P3K_b,,,,
7P3K_V,,,,
7P48_5,,,,
7P48_B,,,,
7P7Q_B,,,,
7P7Q_D,,,,
7P7R_B,,,,
7P7R_D,,,,
7P7S_B,,,,
7P7S_D,,,,
7P7T_B,,,,
7P7T_D,,,,
7P7U_B,,,,
7P7U_D,,,,
7PJS_B,,,,
7PJT_B,,,,
7PJT_v,,,,
7PJT_w,0.708,0.773,0.739,0.74
7PJU_B,,,,
7PJU_v,,,,
7PJU_w,0.737,0.7,0.718,0.718
7PJV_B,,,,
7PJV_v,,,,
7PJV_w,0.833,0.714,0.769,0.772
7PJW_B,,,,
7PJW_v,,,,
7PJW_w,0.789,0.833,0.811,0.811
7PJX_B,,,,
7PJX_v,,,,
7PJX_w,0.8,0.727,0.762,0.763
7PJY_B,,,,
7PJY_v,,,,
7PJY_w,0.842,0.762,0.8,0.801
7PJZ_B,,,,
7PJZ_v,,,,
7PJZ_w,0.714,0.714,0.714,0.714
7PWG_3,0.795,0.646,0.713,0.716
7PWO_3,0.793,0.511,0.622,0.637
7Q3L_2,0.333,1.0,0.5,0.577
7Q4P_2,0.75,1.0,0.857,0.866
7QEP_2,,,,
7QG8_M,0.895,0.708,0.791,0.796
7QG8_O,,,,
7QGH_M,0.895,0.708,0.791,0.796
7QGH_O,,,,
7QGN_M,0.895,0.708,0.791,0.796
7QGN_O,,,,
7QGU_B,,,,
7QGU_z,,,,
7QH4_1,,,,
7QH4_B,,,,
7QH4_y,,,,
7QV1_B,,,,
7QV1_H,,,,
7QV2_B,,,,
7QV2_H,,,,
7QV2_x,,,,
7QV3_B,,,,
7QV3_H,,,,
7QWQ_1,0.189,0.241,0.212,0.214
7QWQ_7,,,,
7QWR_7,,,,
7QWS_7,,,,
7QXA_B,0.077,0.185,0.109,0.119
7QXB_B,0.127,0.25,0.168,0.178
7QXS_B,0.129,0.25,0.17,0.179
7R81_B1,,,,
7R81_t1,,,,
7R81_u1,,,,
7RQ8_1B,,,,
7RQ8_1w,0.645,0.952,0.769,0.784
7RQ8_1x,,,,
7RQ8_2B,,,,
7RQ8_2w,0.577,0.833,0.682,0.693
7RQ8_2x,,,,
7RQ8_2y,0.571,1.0,0.727,0.756
7RQ9_1B,,,,
7RQ9_1w,0.655,0.95,0.776,0.789
7RQ9_1x,,,,
7RQ9_2B,,,,
7RQ9_2w,0.556,0.789,0.652,0.662
7RQ9_2x,,,,
7RQ9_2y,0.5,0.941,0.653,0.686
7RQA_1B,,,,
7RQA_2B,,,,
7RQB_1B,,,,
7RQB_2B,,,,
7RQC_1B,,,,
7RQC_2B,,,,
7RQD_1B,,,,
7RQD_2B,,,,
7RQE_1B,,,,
7RQE_2B,,,,
7RR5_C4,,,,
7RR5_P,,,,
7RYF_B,,,,
7RYF_v,,,,
7RYG_B,,,,
7RYG_v,,,,
7RYH_B,,,,
7S0S_i,,,,
7S1G_J,,,,
7S1H_J,,,,
7S1I_J,,,,
7S1J_J,,,,
7S1K_J,,,,
7SS9_2,,,,
7SS9_5,,,,
7SS9_6,,,,
7SSD_2,,,,
7SSD_5,,,,
7SSD_6,,,,
7SSL_2,,,,
7SSL_5,,,,
7SSL_6,,,,
7SSN_2,,,,
7SSN_5,,,,
7SSN_6,,,,
7SSO_2,,,,
7SSO_5,,,,
7SSO_6,,,,
7SSW_2,,,,
7SSW_5,,,,
7SSW_6,,,,
7ST2_2,,,,
7ST2_5,,,,
7ST2_6,,,,
7ST6_2,,,,
7ST6_5,,,,
7ST6_6,,,,
7ST6_7,,,,
7ST7_2,,,,
7ST7_5,,,,
7ST7_6,,,,
7TD7_A,0.6,0.652,0.625,0.626
7TQL_3,,,,
7TRC_B,0.667,0.769,0.714,0.716
7TRD_B,0.24,0.316,0.273,0.275
7TRE_B,0.255,0.333,0.289,0.291
7TRF_B,0.255,0.333,0.289,0.291
7VNV_B,0.625,0.5,0.556,0.559
7VNW_B,0.909,0.714,0.8,0.806
