,PPV,TPR,F1,INF
6WZR_B,0.118,0.4,0.182,0.217
6WZS_B,0.0,0.0,0.0,0.0
6X6T_B,,,,
6X6T_d,,,,
6X7F_B,,,,
6X7F_d,,,,
6X7K_B,,,,
6X7K_d,,,,
6X9Q_B,,,,
6X9Q_d,,,,
6XA1_Bv,,,,
6XA1_L7,,,,
6XDQ_B,,,,
6XDQ_d,,,,
6XDR_B,,,,
6XDR_d,,,,
6XGF_B,,,,
6XGF_d,,,,
6XHV_1B,,,,
6XHV_1w,0.037,0.125,0.057,0.068
6XHV_1x,,,,
6XHV_2B,,,,
6XHV_2w,0.036,0.143,0.057,0.071
6XHV_2x,,,,
6XHV_2y,0.03,0.125,0.049,0.062
6XHW_1B,,,,
6XHW_1w,0.036,0.111,0.054,0.063
6XHW_1x,,,,
6XHW_2B,,,,
6XHW_2w,0.038,0.125,0.059,0.069
6XHW_2x,,,,
6XHW_2y,0.03,0.125,0.049,0.062
6XHX_1B,,,,
6XHX_2B,,,,
6XHY_1B,,,,
6XHY_1w,0.034,0.111,0.053,0.062
6XHY_1x,,,,
6XHY_2B,,,,
6XHY_2w,0.036,0.143,0.057,0.071
6XHY_2x,,,,
6XHY_2y,0.029,0.125,0.048,0.061
6XII_B,,,,
6XII_d,,,,
6XIJ_B,,,,
6XIJ_d,,,,
6XIQ_3,,,,
6XIQ_AX,,,,
6XIQ_AZ,,,,
6XIR_3,,,,
6XIR_AX,,,,
6XIR_AZ,,,,
6XQD_1B,,,,
6XQD_1x,,,,
6XQD_2B,,,,
6XQD_2x,,,,
6XQE_1B,,,,
6XQE_1x,,,,
6XQE_2B,,,,
6XQE_2x,,,,
6XU6_A7,,,,
6XU7_A7,,,,
6XU8_A7,,,,
6XZ7_B,,,,
6XZ7_f,,,,
6XZ7_g,0.091,0.111,0.1,0.101
6XZA_B2,,,,
6XZA_f2,,,,
6XZB_B2,,,,
6XZB_f2,,,,
6XZB_g2,0.042,0.091,0.057,0.062
6Y3G_F,0.071,0.167,0.1,0.109
6Y4B_F,0.0,0.0,0.0,0.0
6Y50_2,0.0,0.0,0.0,0.0
6Y53_2,0.0,0.0,0.0,0.0
6Y5Q_2,0.032,0.091,0.048,0.054
6Y69_B,,,,
6Y69_w,,,,
6Y6X_L7,,,,
6YDP_BB,,,,
6YDW_BB,,,,
6YEF_B,,,,
6YEF_x,,,,
6YHS_5,,,,
6YLG_3,,,,
6YLH_3,,,,
6YPU_4,0.024,0.091,0.038,0.047
6YS3_v,,,,
6YS5_3,0.221,0.5,0.306,0.332
6YS5_7,0.167,0.5,0.25,0.289
