,PPV,TPR,F1,INF
6XRQ_1_B,0.0,0.0,0.0,0.0
5F5F_1_B,0.571,1.0,0.727,0.756
7B5K_1_x,0.526,0.526,0.526,0.526
6BHJ_1_E,0.0,0.0,0.0,0.0
3TS2_1_U,1.0,1.0,1.0,1.0
4X4N_1_D,0.692,1.0,0.818,0.832
7KKV_1_B,0.474,0.692,0.563,0.573
4TUW_1_C,1.0,0.667,0.8,0.816
2Y9H_1_J,1.0,0.333,0.5,0.577
4YYE_1_C,0.615,0.762,0.681,0.685
7MJV_1_E,1.0,1.0,1.0,1.0
5DEA_1_A,0.333,0.5,0.4,0.408
7MQA_1_L2,0.596,0.667,0.629,0.63
6XU8_1_A7,0.292,0.5,0.369,0.382
2Y9H_1_N,1.0,0.714,0.833,0.845
2Y9H_1_H,1.0,0.833,0.909,0.913
5ZQ8_1_D,1.0,1.0,1.0,1.0
5NDH_1_A,0.0,0.0,0.0,0.0
3RG5_1_B,0.821,0.821,0.821,0.821
5FJ4_1_H,0.0,0.0,0.0,0.0
7OT5_1_z,0.462,0.333,0.387,0.392
5XH7_1_B,0.0,0.0,0.0,0.0
7KI3_1_C,1.0,0.5,0.667,0.707
4FRG_1_B,0.519,0.824,0.636,0.653
6GSJ_1_3L,0.636,0.955,0.764,0.779
6XRQ_1_A,0.0,0.0,0.0,0.0
6W5C_1_B,0.0,0.0,0.0,0.0
7D81_1_A,0.813,0.765,0.788,0.788
5WZK_1_B,0.0,0.0,0.0,0.0
6UGG_1_B,0.7,0.737,0.718,0.718
6F4H_1_D,1.0,0.833,0.909,0.913
1HMH_1_A,0.2,0.333,0.25,0.258
6KC8_1_B,0.621,0.529,0.571,0.573
5IB7_1_3L,0.583,0.875,0.7,0.714
6ZU5_1_L70,0.295,0.621,0.4,0.428
5F5H_1_C,0.7,1.0,0.824,0.837
6KYV_1_G,1.0,0.889,0.941,0.943
4C8Y_1_C,0.667,0.667,0.667,0.667
6T4Q_1_6,0.0,0.0,0.0,0.0
7EU9_1_B,1.0,0.6,0.75,0.775
4C9D_1_D,0.667,0.667,0.667,0.667
3SNP_1_D,1.0,0.7,0.824,0.837
3IBK_1_A,0.0,0.0,0.0,0.0
1Q96_1_A,0.556,1.0,0.714,0.745
2DRA_1_B,0.9,0.75,0.818,0.822
2Y8Y_1_B,1.0,0.4,0.571,0.632
7NHN_1_B,0.317,0.5,0.388,0.398
5MSF_1_R,1.0,0.8,0.889,0.894
7A9X_1_B,0.0,0.0,0.0,0.0
1MMS_1_C,0.55,0.688,0.611,0.615
5F5F_1_F,0.5,0.75,0.6,0.612
5UDZ_1_W,1.0,1.0,1.0,1.0
4ZT0_1_D,0.765,0.867,0.813,0.814
6T4Q_1_7,0.6,0.706,0.649,0.651
7OZQ_1_H,0.875,0.875,0.875,0.875
6UFM_1_B,0.407,0.423,0.415,0.415
