,PPV,TPR,F1,INF
6WDA_7,0.222,0.333,0.267,0.272
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,0.3,0.6,0.4,0.424
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,0.273,0.429,0.333,0.342
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,0.273,0.375,0.316,0.32
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,0.25,0.375,0.3,0.306
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
6WDJ_7,0.333,0.6,0.429,0.447
6WDK_2,,,,
6WDK_5,,,,
6WDK_6,,,,
6WDK_7,0.3,0.5,0.375,0.387
6WDL_2,,,,
6WDL_5,,,,
6WDL_6,,,,
6WDL_7,0.333,0.5,0.4,0.408
6WDM_2,,,,
6WDM_5,,,,
6WDM_6,,,,
6WDM_7,0.333,0.5,0.4,0.408
6WJR_X,,,,
6WJS_X,,,,
6WLL_A,0.0,0.0,0.0,0.0
6WLM_A,0.027,0.077,0.04,0.046
6WLQ_A,,,,
6WLR_A,,,,
6WLS_A,,,,
6WLT_A,0.0,0.0,0.0,0.0
6WLU_A,0.022,0.071,0.034,0.04
6WNW_5,,,,
6WNW_7,0.231,0.3,0.261,0.263
6WOO_3,,,,
6WOO_7,,,,
6WQN_2,,,,
6WQQ_2,,,,
6WRS_2,,,,
6WRU_2,,,,
6WTL_A,,,,
6WTR_A,,,,
6WU9_B,,,,
6WUA_a,0.075,0.111,0.09,0.091
6WYV_J,,,,
6WZS_A,0.0,0.0,0.0,0.0
6X6T_A,,,,
6X6T_B,,,,
6X6T_d,,,,
6X7F_A,,,,
6X7F_B,,,,
6X7F_d,,,,
6X7K_A,,,,
6X7K_B,,,,
6X7K_d,,,,
6X9Q_A,,,,
6X9Q_B,,,,
6X9Q_d,,,,
6XA1_Bv,,,,
6XA1_L7,,,,
6XDQ_A,,,,
6XDQ_B,,,,
6XDQ_d,,,,
6XDR_A,,,,
6XDR_B,,,,
6XDR_d,,,,
6XGF_A,,,,
6XGF_B,,,,
6XGF_d,,,,
6XHV_1B,,,,
6XHV_1w,0.0,0.0,0.0,0.0
6XHV_1x,,,,
6XHV_1y,0.167,0.125,0.143,0.144
6XHV_2B,,,,
6XHV_2x,,,,
6XHW_1B,,,,
6XHW_1w,0.0,0.0,0.0,0.0
6XHW_1x,,,,
6XHW_1y,0.0,0.0,0.0,0.0
6XHW_2B,,,,
6XHW_2x,,,,
6XHX_1B,,,,
6XHX_2B,,,,
6XHY_1B,,,,
6XHY_1w,0.0,0.0,0.0,0.0
6XHY_1x,,,,
6XHY_1y,0.111,0.125,0.118,0.118
6XHY_2B,,,,
6XHY_2x,,,,
6XII_A,,,,
6XII_B,,,,
6XII_d,,,,
6XIJ_A,,,,
6XIJ_B,,,,
6XIJ_d,,,,
6XIQ_AX,,,,
6XIQ_AZ,,,,
6XIR_AX,,,,
6XIR_AZ,,,,
6XKN_A,,,,
6XKO_A,,,,
6XQD_1B,,,,
6XQD_1x,,,,
6XQD_2B,,,,
6XQD_2x,,,,
6XQE_1B,,,,
6XQE_1x,,,,
6XQE_2B,,,,
6XQE_2x,,,,
6XRZ_A,,,,
6XU6_A7,,,,
6XU7_A7,,,,
6XU7_B,,,,
6XU8_A7,,,,
6XZ7_B,,,,
6XZ7_f,,,,
6XZA_B2,,,,
6XZA_f2,,,,
6XZB_B2,,,,
6XZB_f2,,,,
6Y3G_F,0.0,0.0,0.0,0.0
6Y4B_F,0.167,0.2,0.182,0.183
6Y53_2,0.25,0.4,0.308,0.316
6Y5Q_2,0.154,0.222,0.182,0.185
6Y69_B,,,,
6Y6X_L7,,,,
6YEF_B,,,,
6YEF_x,,,,
6YHS_5,,,,
6YLG_3,,,,
6YLH_3,,,,
6YPU_4,0.0,0.0,0.0,0.0
6YS3_a,,,,
6YS3_v,,,,
6YS5_3,0.046,0.079,0.058,0.06
6YSI_5,,,,
6YSR_B,,,,
6YSR_w,0.0,0.0,0.0,0.0
6YSS_B,,,,
6YSS_w,0.0,0.0,0.0,0.0
6YST_B,,,,
6YST_w,0.1,0.167,0.125,0.129
6YSU_B,,,,
6YSU_w,0.0,0.0,0.0,0.0
6YT9_4,0.0,0.0,0.0,0.0
6YTF_3,0.045,0.076,0.056,0.058
6YWX_bb,0.0,0.0,0.0,0.0
6YWY_bb,0.0,0.0,0.0,0.0
6Z6J_C4,,,,
6Z6K_C4,,,,
6Z6L_CC,,,,
6Z6L_L7,,,,
6Z6M_CC,,,,
6Z6M_L7,,,,
6Z6N_CC,,,,
6Z6N_L7,,,,
6ZJ3_LJ,0.0,0.0,0.0,0.0
6ZJ3_LO,,,,
6ZJ3_S2,0.231,0.375,0.286,0.294
6ZJ3_S3,0.308,0.444,0.364,0.37
6ZJ3_S4,0.143,0.167,0.154,0.154
6ZM7_CC,,,,
6ZM7_L7,,,,
6ZME_CC,,,,
6ZME_L7,,,,
6ZMI_CC,,,,
6ZMI_L7,,,,
6ZMO_CB,,,,
6ZMO_CC,,,,
6ZMO_L7,,,,
6ZOL_2,0.0,0.0,0.0,0.0
6ZP4_1,,,,
6ZQC_D4,0.036,0.037,0.036,0.036
6ZTJ_AW,,,,
6ZTJ_AX,0.0,0.0,0.0,0.0
6ZTJ_BB,,,,
6ZTL_AW,,,,
6ZTL_AX,0.0,0.0,0.0,0.0
6ZTL_BB,,,,
6ZTM_AW,,,,
6ZTM_AX,0.0,0.0,0.0,0.0
6ZTM_BB,,,,
6ZTN_AW,,,,
6ZTN_AX,0.0,0.0,0.0,0.0
6ZTN_AZ,0.0,0.0,0.0,0.0
6ZTN_BB,,,,
6ZTO_AW,,,,
6ZTO_AX,0.0,0.0,0.0,0.0
6ZTO_BB,,,,
6ZTP_AW,,,,
6ZTP_AX,0.0,0.0,0.0,0.0
6ZTP_BB,,,,
6ZU1_AW,,,,
6ZU1_AX,0.0,0.0,0.0,0.0
6ZU1_BB,,,,
6ZU5_L70,,,,
6ZU9_1,,,,
6ZVH_x,,,,
6ZVI_d,0.154,0.222,0.182,0.185
6ZVI_e,,,,
6ZVK_d2,,,,
6ZYM_6,0.0,0.0,0.0,0.0
4C9D_D,0.0,0.0,0.0,0.0
6LVR_B,0.0,0.0,0.0,0.0
6LVR_D,0.0,0.0,0.0,0.0
6OIG_7,,,,
6OM6_5,,,,
6TF0_A,,,,
6TFH_A,,,,
6TPQ_V,,,,
6UBU_B,0.286,0.4,0.333,0.338
6UC7_B,0.286,0.364,0.32,0.322
6UC8_B,0.333,0.4,0.364,0.365
