,PPV,TPR,F1,INF
7OLC_1_3,0.892,0.892,0.892,0.892
2UWM_1_D,0.9,0.9,0.9,0.9
6UFG_1_B,0.955,1.0,0.977,0.977
4LX6_1_A,0.84,1.0,0.913,0.917
3OVB_1_C,1.0,1.0,1.0,1.0
3EPH_1_E,0.944,1.0,0.971,0.972
1B23_1_R,0.6,0.6,0.6,0.6
5LYS_1_B,1.0,1.0,1.0,1.0
3SN2_1_B,0.917,1.0,0.957,0.957
6WOO_1_3,1.0,1.0,1.0,1.0
5WTK_1_B,0.8,1.0,0.889,0.894
5NDI_1_B,1.0,1.0,1.0,1.0
7OAX_1_A,0.6,0.6,0.6,0.6
6BHJ_1_E,1.0,1.0,1.0,1.0
6LTU_1_B,0.833,1.0,0.909,0.913
4Z7K_1_C,0.0,0.0,0.0,0.0
5D0A_1_F,1.0,1.0,1.0,1.0
4FAR_1_A,0.86,0.972,0.912,0.914
1QTQ_1_B,0.95,1.0,0.974,0.975
4ZNP_1_A,0.762,1.0,0.865,0.873
3GS5_1_A,0.0,0.0,0.0,0.0
6QW6_1_5,0.971,1.0,0.985,0.985
2I82_1_F,1.0,1.0,1.0,1.0
4XNR_1_X,0.84,1.0,0.913,0.917
6S0Z_1_B,0.897,0.963,0.929,0.929
4TUW_1_C,1.0,1.0,1.0,1.0
7ELQ_1_A,0.8,1.0,0.889,0.894
4K27_1_U,0.882,1.0,0.938,0.939
4QI2_1_G,0.0,0.0,0.0,0.0
6UFM_1_B,0.828,0.923,0.873,0.874
7MJW_1_G,1.0,1.0,1.0,1.0
2Y8Y_1_B,1.0,1.0,1.0,1.0
3NVI_1_F,1.0,1.0,1.0,1.0
1MMS_1_C,0.929,0.929,0.929,0.929
5AXM_1_P,0.95,1.0,0.974,0.975
7O7Z_1_AH,0.577,0.714,0.638,0.642
7EQJ_1_B,0.955,1.0,0.977,0.977
5Y58_1_X,0.9,0.9,0.9,0.9
6RJA_1_D,0.571,0.8,0.667,0.676
7NQ4_1_C,1.0,1.0,1.0,1.0
4L8H_1_R,1.0,1.0,1.0,1.0
5TBW_1_AS,0.703,0.703,0.703,0.703
5DM6_1_Y,0.971,1.0,0.986,0.986
3VJR_1_B,1.0,1.0,1.0,1.0
6AAY_1_B,1.0,1.0,1.0,1.0
3HHN_1_E,0.733,0.892,0.805,0.809
4QLM_1_A,0.6,0.955,0.737,0.757
3GS5_1_C,0.727,1.0,0.842,0.853
4YAZ_1_R,0.6,0.882,0.714,0.728
